sample_index,question_id,question,ground_truth_answer,gold_doc_id,top_k,rank,retrieved_doc_id,score,retrieval_hit,retrieved_text
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,1,1,0,0.7605936527252197,True,"Douwes Dekker terlahir di Pasuruan, Jawa Timur, pada tanggal 8 Oktober 1879, sebagaimana yang dia tulis pada riwayat hidup singkat saat mendaftar di Universitas Zurich, September 1913. Ayahnya, Auguste Henri Edoeard Douwes Dekker, adalah seorang agen di bank kelas kakap Nederlandsch Indisch Escomptobank. Auguste ayahnya, memiliki darah Belanda dari ayahnya, Jan (adik Eduard Douwes Dekker) dan dari ibunya, Louise Bousquet. Sementara itu, ibu Douwes Dekker, Louisa Neumann, lahir di Pekalongan, Jawa Tengah, dari pasangan Jerman-Jawa.[1] Dia terlahir sebagai anak ke-3 dari 4 bersaudara, dan keluarganya pun sering berpindah-pindah. Saudaranya yang perempuan dan laki-laki, yakni Adeline (1876) dan Julius (1878) terlahir sewaktu keluarga Dekker berada di Surabaya, dan adik laki-lakinya lahir di Meester Cornelis, Batavia (sekarang Jatinegara, Jakarta Timur pada tahun 1883. Dari situ, keluarga Dekker berpindah lagi ke Pegangsaan, Jakarta Pusat.[1]"
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,3,1,0,0.7605936527252197,True,"Douwes Dekker terlahir di Pasuruan, Jawa Timur, pada tanggal 8 Oktober 1879, sebagaimana yang dia tulis pada riwayat hidup singkat saat mendaftar di Universitas Zurich, September 1913. Ayahnya, Auguste Henri Edoeard Douwes Dekker, adalah seorang agen di bank kelas kakap Nederlandsch Indisch Escomptobank. Auguste ayahnya, memiliki darah Belanda dari ayahnya, Jan (adik Eduard Douwes Dekker) dan dari ibunya, Louise Bousquet. Sementara itu, ibu Douwes Dekker, Louisa Neumann, lahir di Pekalongan, Jawa Tengah, dari pasangan Jerman-Jawa.[1] Dia terlahir sebagai anak ke-3 dari 4 bersaudara, dan keluarganya pun sering berpindah-pindah. Saudaranya yang perempuan dan laki-laki, yakni Adeline (1876) dan Julius (1878) terlahir sewaktu keluarga Dekker berada di Surabaya, dan adik laki-lakinya lahir di Meester Cornelis, Batavia (sekarang Jatinegara, Jakarta Timur pada tahun 1883. Dari situ, keluarga Dekker berpindah lagi ke Pegangsaan, Jakarta Pusat.[1]"
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,3,2,2985,0.5835148096084595,True,"Desiderius Erasmus dilaporkan lahir di Rotterdam pada tanggal 28 Oktober, di akhir tahun 1460-an.[1][7] Ia dinamai seturut nama Santo Erasmus dari Formia, seorang tokoh yang disukai oleh Gerard, ayah Erasmus.[8] Suatu legenda dari abad ke-17 menyebutkan bahwa Erasmus awalnya dinamakan Geert Geerts (juga Gerhard Gerhards atau Gerrit Gerritsz),[9] namun hal itu tidak berdasar.[10] Ia lahir di Rotterdam, namun, ada anggapan bahwa tidak terdapat cukup catatan untuk memastikannya. Sebuah lukisan kayu yang terkenal mengindikasikan: Goudæ conceptus, Roterodami natus (bahasa Latin yang artinya: dikandung di Gouda, lahir di Rotterdam). Menurut sebuah artikel yang ditulis oleh sejarawan Renier Snooy (1478–1537), Erasmus lahir di Gouda."
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,3,3,2516,0.5011759996414185,True,"Ernest Hemingway dilahirkan pada 21 Juli 1899 di Oak Park, Illinois, sebuah suburban dari Chicago. Hemingway adalah anak lelaki pertama dan anak kedua dari enam anak yang dilahirkan dalam keluarga Clarence Edmonds (""Doctor Ed"") dan Grace Hall Hemingway. Ayah Hemingway, seorang dokter, menyaksikan kelahiran Ernest dan kemudian meniup sebuah serunai di teras depannya, untuk mengumumkan kepada tetangga-tetangganya bahwa istrinya telah melahirkan seorang bayi lelaki. Keluarga Hemingway tinggal di sebuah rumah bergaya Victoria dengan enam kamar tidur, yang dibangun oleh nenek Ernest dari pihak ibunya yang telah menjanda, Ernest Hall, seorang imigran Inggris dan veteran Perang Saudara yang tinggal bersama keluarga itu. Nama Hemingway diberikan mengikuti nama neneknya."
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,5,1,0,0.7605936527252197,True,"Douwes Dekker terlahir di Pasuruan, Jawa Timur, pada tanggal 8 Oktober 1879, sebagaimana yang dia tulis pada riwayat hidup singkat saat mendaftar di Universitas Zurich, September 1913. Ayahnya, Auguste Henri Edoeard Douwes Dekker, adalah seorang agen di bank kelas kakap Nederlandsch Indisch Escomptobank. Auguste ayahnya, memiliki darah Belanda dari ayahnya, Jan (adik Eduard Douwes Dekker) dan dari ibunya, Louise Bousquet. Sementara itu, ibu Douwes Dekker, Louisa Neumann, lahir di Pekalongan, Jawa Tengah, dari pasangan Jerman-Jawa.[1] Dia terlahir sebagai anak ke-3 dari 4 bersaudara, dan keluarganya pun sering berpindah-pindah. Saudaranya yang perempuan dan laki-laki, yakni Adeline (1876) dan Julius (1878) terlahir sewaktu keluarga Dekker berada di Surabaya, dan adik laki-lakinya lahir di Meester Cornelis, Batavia (sekarang Jatinegara, Jakarta Timur pada tahun 1883. Dari situ, keluarga Dekker berpindah lagi ke Pegangsaan, Jakarta Pusat.[1]"
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,5,2,2985,0.5835148096084595,True,"Desiderius Erasmus dilaporkan lahir di Rotterdam pada tanggal 28 Oktober, di akhir tahun 1460-an.[1][7] Ia dinamai seturut nama Santo Erasmus dari Formia, seorang tokoh yang disukai oleh Gerard, ayah Erasmus.[8] Suatu legenda dari abad ke-17 menyebutkan bahwa Erasmus awalnya dinamakan Geert Geerts (juga Gerhard Gerhards atau Gerrit Gerritsz),[9] namun hal itu tidak berdasar.[10] Ia lahir di Rotterdam, namun, ada anggapan bahwa tidak terdapat cukup catatan untuk memastikannya. Sebuah lukisan kayu yang terkenal mengindikasikan: Goudæ conceptus, Roterodami natus (bahasa Latin yang artinya: dikandung di Gouda, lahir di Rotterdam). Menurut sebuah artikel yang ditulis oleh sejarawan Renier Snooy (1478–1537), Erasmus lahir di Gouda."
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,5,3,2516,0.5011759996414185,True,"Ernest Hemingway dilahirkan pada 21 Juli 1899 di Oak Park, Illinois, sebuah suburban dari Chicago. Hemingway adalah anak lelaki pertama dan anak kedua dari enam anak yang dilahirkan dalam keluarga Clarence Edmonds (""Doctor Ed"") dan Grace Hall Hemingway. Ayah Hemingway, seorang dokter, menyaksikan kelahiran Ernest dan kemudian meniup sebuah serunai di teras depannya, untuk mengumumkan kepada tetangga-tetangganya bahwa istrinya telah melahirkan seorang bayi lelaki. Keluarga Hemingway tinggal di sebuah rumah bergaya Victoria dengan enam kamar tidur, yang dibangun oleh nenek Ernest dari pihak ibunya yang telah menjanda, Ernest Hall, seorang imigran Inggris dan veteran Perang Saudara yang tinggal bersama keluarga itu. Nama Hemingway diberikan mengikuti nama neneknya."
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,5,4,2763,0.4918449819087982,True,"Émilie Du Châtelet lahir di Paris, Perancis, pada17 December 1706 dari pasangan Baron Louis Nicholas le Tonnelier de Breteuil dan Gabrielle Anne de Froullay, Baronne de Breteuil.[3] Ia merupakan putri satu-satunya dari enam bersaudara. Emilie lahir dari keluarga bangsawan dan sejak kecil diketahui memiliki ketertarikan yang tinggi terhadap bahasa, matematika, dan ilmu pengetahuan alam.[1][7] Emilie dibesarkan di Paris pada periode 1710an. Ibunya selalu mengancam akan mengirimkannya ke biara karena tidak bertindak seperti anak perempuan pada umumnya dimasa itu; bertindak tidak sopan di pesta dan juga tidak terlalu peduli terhadap gaya berpakaian.[7][8] Alih-alih, Emilie lebih menyukai topik-topik yang berkaitan dengan matematika dan astronomi, yang pada masa itu didominasi oleh pria.[8] Ayah Emilie sebaliknya, merupakan sosok yang sangat peduli dengan keinginan putri semata wayangnya. Ia menghalang-halangi keinginan istrinya untuk mengirim putrinya belajar di biara. Alih-alih, ia menyewa tutor secara pribadi untuk mengajari Emilie beberapa bahasa asing dan matematika.[8]"
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,5,5,3481,0.48238256573677063,True,"Theodore Beza lahir di Vézelay, dalam wilayah Burgundy, Perancis. Ayahnya, Pierre de Beze, royal governor Vézelay, adalah keturunan keluarga Burgundian yang terpandang; ibunya, Marie Bourdelot, terkenal karena kedermawanannya. Ayah Beza mempunyai dua saudara laki-laki; Nicholas, seorang anggota Parliament di Paris; dan Claude, seorang abbott monastery Sisterian Froimont dalam diokese Beauvais."
0,indonesian-1653118927826418646-2,dimanakah Dr. Ernest François Eugène Douwes Dekker dilahirkan?,"Pasuruan, Jawa Timur",0,10,1,0,0.7605936527252197,True,"Douwes Dekker terlahir di Pasuruan, Jawa Timur, pada tanggal 8 Oktober 1879, sebagaimana yang dia tulis pada riwayat hidup singkat saat mendaftar di Universitas Zurich, September 1913. Ayahnya, Auguste Henri Edoeard Douwes Dekker, adalah seorang agen di bank kelas kakap Nederlandsch Indisch Escomptobank. Auguste ayahnya, memiliki darah Belanda dari ayahnya, Jan (adik Eduard Douwes Dekker) dan dari ibunya, Louise Bousquet. Sementara itu, ibu Douwes Dekker, Louisa Neumann, lahir di Pekalongan, Jawa Tengah, dari pasangan Jerman-Jawa.[1] Dia terlahir sebagai anak ke-3 dari 4 bersaudara, dan keluarganya pun sering berpindah-pindah. Saudaranya yang perempuan dan laki-laki, yakni Adeline (1876) dan Julius (1878) terlahir sewaktu keluarga Dekker berada di Surabaya, dan adik laki-lakinya lahir di Meester Cornelis, Batavia (sekarang Jatinegara, Jakarta Timur pada tahun 1883. Dari situ, keluarga Dekker berpindah lagi ke Pegangsaan, Jakarta Pusat.[1]"
